"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Kewangan :: Rakan kongsi :: Rakan kongsi :: Rakan kongsi","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","No.","Kategori","Negara","Negeri","Bandar","Negara","Negeri","Bandar","Kod","Nombor pendaftaran","Nombor cukai","Syarikat","Imej","Telefon","Telefon mudah alih","","Alamat Pejabat","Alamat penghantaran","Alamat Pejabat Poskod","Alamat penghantaran Poskod","E-mel","Laman web","Facebook","Twitter","Nota-Nota","Tarikh","Percetakan cek","Tempoh kredit","Had kredit","Oleh","Masa"
"","1","Staff","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","UNBL","ayam","","IDCMSAPP Software","batKnife.jpg","0111-4777135","","","3331,Lorong 117 Taman Ria ","-","","","","","","","","2014-02-10","","","0","admin","2014-02-10 10:53"
"","2","Fast Customer","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","WTR8978	","","","LIN HSIN YI","","","","","testingo","testingo","","","","","","","","2014-08-28","","","0","admin","2013-07-24 11:52"
"","3","Fast Customer","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","DBQ5983			","","","ROSLIDAWATI","","","","","testingo","testingo","","","","","","","","2014-08-28","","","0","admin","2013-07-24 11:52"
"","4","Fast Customer","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","WXG5766	","","","MOHD AIMAN","","","","","whats","whats","","","","","","","","2014-08-28","","","0","admin","2013-07-24 14:02"
"","5","Fast Customer","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","WYW5928","","","ROSLINA","","","","","whats","whats","","","","","","","","2014-08-28","","","0","admin","2013-07-24 14:02"
"","6","Fast Customer","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","WWJ4207","","","MISS JAYA","","","","","whats","whats","","","","","","","","2014-08-28","","","0","admin","2013-07-24 14:02"
"","7","Fast Customer","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","BME5158","","","JUMAIDAH","","","","","whats","whats","","","","","","","","2014-08-28","","","0","admin","2013-07-24 14:02"
"","8","Fast Customer","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","BMB6658","","","SAMSUL","","","","","whats","whats","","","","","","","","2014-08-28","","","0","admin","2013-07-24 14:02"
"","9","Staff","Not Available","Unavailable","Unavailable","Not Available","Unavailable","Unavailable","","","","FAZLINA","","","","","whats","whats","","","","","","","","2014-08-28","","","0","admin","2013-07-24 14:02"
